code,year,region
152831,1980,察哈尔右翼中旗
152832,1980,察哈尔右翼后旗
152833,1980,达尔罕茂明安联合旗
152834,1980,四子王旗
152900,1980,阿拉善盟
152921,1980,阿拉善左旗
152922,1980,阿拉善右旗
152923,1980,额济纳旗
210000,1980,辽宁省
210100,1980,沈阳市
210102,1980,和平区
210103,1980,沈河区
210104,1980,大东区
210105,1980,皇姑区
210106,1980,铁西区
210111,1980,苏家屯区
210112,1980,东陵区
210112,2016,浑南区
210113,2006,沈北新区
210113,1980,新城子区
210114,1980,于洪区
210115,2016,辽中区
210121,1980,新民县
210122,1980,辽中县
210123,1992,康平县
210124,1992,法库县
210181,1995,新民市
210200,1981,大连市
210200,1980,旅大市
210202,1980,中山区
210203,1980,西岗区
210204,1980,沙河口区
210211,1980,甘井子区
210212,1980,旅顺口区
210213,1987,金州区
210214,2015,普兰店区
210219,1985,瓦房店市
210221,1980,金县
210222,1980,新金县
210223,1980,复县
210224,1980,长海县
210225,1980,庄河县
210281,1995,瓦房店市
210282,1995,普兰店市
210283,1995,庄河市
210300,1980,鞍山市
210302,1980,铁东区
210303,1980,铁西区
210304,1980,立山区
210311,1980,郊区
210311,1984,旧堡区
210311,1996,千山区
210319,1985,海城市
210321,1980,台安县
210322,1980,海城县
210323,1992,岫岩满族自治县
210381,1995,海城市
210400,1980,抚顺市
210402,1980,新抚区
210403,1999,东洲区
210403,1980,露天区
210404,1980,望花区
210411,1980,郊区
210411,1988,顺城区
210421,1980,抚顺县
210422,1985,新宾满族自治县
210422,1980,新宾县
210423,1989,清原满族自治县
210423,1980,清原县
210500,1980,本溪市
210502,1980,平山区
210503,1980,溪湖区
210504,1984,明山区
210505,1984,南芬区
210511,1980,立新区
210511,1985,南芬区
210521,1989,本溪满族自治县
210521,1980,本溪县
210522,1989,桓仁满族自治县
210522,1980,桓仁县
210600,1980,丹东市
210602,1980,元宝区
